cat_name,root_id,entry_by
Fresh Fruit Smoothies-Classic Watermelon,0,0
Fresh Fruit Smoothies-Classic Mint Watermelon,0,0
Fresh Fruit Smoothies-Epic Watermelon,0,0
Fresh Fruit Smoothies-Magic Watermelon,0,0
Fresh Fruit Smoothies-Classic Pineapple,0,0
Fresh Fruit Smoothies-Classic Mint Pineapple,0,0
Fresh Fruit Smoothies-Epic Pineapple,0,0
Fresh Fruit Smoothies-Magic Pineapple,0,0
Fresh Fruit Smoothies-Classic Banana,0,0
Fresh Fruit Smoothies-Epic Banana,0,0
Fresh Fruit Smoothies-Magic Banana,0,0
Fresh Fruit Smoothies-Classic Muskmelon,0,0
Fresh Fruit Smoothies-Epic Muskmelon,0,0
Fresh Fruit Smoothies-Magic Muskmelon,0,0
Fresh Fruit Smoothies-Classic Chikoo,0,0
Fresh Fruit Smoothies-Epic Chikoo,0,0
Fresh Fruit Smoothies-Magic Chikoo,0,0
Fresh Fruit Smoothies-Classic Apple,0,0
Fresh Fruit Smoothies-Classic Mint Apple,0,0
Fresh Fruit Smoothies-Epic Apple,0,0
Fresh Fruit Smoothies-Magic Apple,0,0
Fresh Fruit Smoothies-Classic Papaya,0,0
Fresh Fruit Smoothies-Epic Papaya,0,0
Fresh Fruit Smoothies-Magic Papaya,0,0
Fresh Fruit Smoothies-Classic Green grape,0,0
Fresh Fruit Smoothies-Epic Green grape,0,0
Fresh Fruit Smoothies-Magic Green grape,0,0
Fresh Fruit Smoothies-Classic Black grape,0,0
Fresh Fruit Smoothies-Epic Black grape,0,0
Fresh Fruit Smoothies-Magic Black grape,0,0
Fresh Fruit Smoothies-Classic Pomegranate,0,0
Fresh Fruit Smoothies-Epic Pomegranate,0,0
Fresh Fruit Smoothies-Magic Pomegranate,0,0
Fresh Fruit Smoothies-Classic Mosambi,0,0
Fresh Fruit Smoothies-Epic Mosambi,0,0
Fresh Fruit Smoothies-Magic Mosambi,0,0
Fresh Fruit Smoothies-Classic Orange,0,0
Fresh Fruit Smoothies-Epic Orange,0,0
Fresh Fruit Smoothies-Magic Orange,0,0
Fresh Fruit Smoothies-Classic Strawberry,0,0
Fresh Fruit Smoothies-Epic Strawberry,0,0
Fresh Fruit Smoothies-Magic Strawberry,0,0
Fresh Fruit Smoothies-Classic Kiwi,0,0
Fresh Fruit Smoothies-Epic Kiwi,0,0
Fresh Fruit Smoothies-Magic Kiwi,0,0
Fresh Fruit Smoothies-Classic Dragon Fruit,0,0
Fresh Fruit Smoothies-Epic Dragon Fruit,0,0
Fresh Fruit Smoothies-Magic Dragon Fruit,0,0
Fresh Fruit Smoothies-Emperor,0,0
Fresh Fruit Smoothies-King of hearts,0,0
Fresh Fruit Smoothies-King of tropics,0,0
Fresh Fruit Smoothies-Beauty of the beast,0,0
Fresh Fruit Smoothies-King beyond the wall,0,0
Fresh Fruit Shakes,0,0
Veggies,0,0
Avocado,0,0
Coffee,0,0
Something Special,0,0
Indulgence,0,0
Meal Smoothie,0,0
Hydrator-Lime Sweet Chiller,0,0
Hydrator-Lime Sweet Electrolyte,0,0
Hydrator-Lime Sweet Salt Chiller,0,0
Hydrator-Lime Sweet Salt Electrolyte,0,0
Hydrator-Mint Chiller,0,0
Hydrator-Mint Electrolyte,0,0
Hydrator-Cucumber Chiller,0,0
Hydrator-Cucumber Electrolyte,0,0
Hydrator-Watermelon Chiller,0,0
Hydrator-Watermelon Electrolyte,0,0
Hydrator-Watermelon Lemon Chiller,0,0
Hydrator-Watermelon Lemon Electrolyte,0,0
Hydrator-Musk Melon Chiller,0,0
Hydrator-Musk Melon Electrolyte,0,0
Hydrator-Strawberry Lime Chiller,0,0
Hydrator-Strawberry Lime Electrolyte,0,0
Hangover Warriors,0,0
Detox,0,0
Protein Smoothies,0,0
