cat_name,root_id,entry_by
 salad,0,0
Vegetarain,0,0
Oriental,0,0
Non Vegtaratian,0,0
Tandoori,0,0
Main course,0,0
Dal,0,0
From the south,0,0
Rice&Noodles Vegetarian,0,0
Rice&Noodles-Non Vegetarian,0,0
