restaurant_name,food_item,description,price,special_price,special_from,,,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
ARAFA CHICKEN PARK,Arabian Mandi Biriyani Mutton Full,,1870,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Mandi Biriyani,,0,,4,7
ARAFA CHICKEN PARK,Arabian Mandi Biriyani Mutton Half,,935,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Mandi Biriyani,,0,,4,8
ARAFA CHICKEN PARK,Arabian Mandi Biriyani Plain 1/4,,297,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Mandi Biriyani,,0,,4,9
ARAFA CHICKEN PARK,Arabian Mandi Biriyani Plain Mini 1/4,,176,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Mandi Biriyani,,0,,4,10
ARAFA CHICKEN PARK,Arabian Mandi Biriyani Plain Full,,990,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Mandi Biriyani,,0,,4,11
ARAFA CHICKEN PARK,Arabian Mandi Biriyani Plain Half,,495,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Mandi Biriyani,,0,,4,12
ARAFA CHICKEN PARK,Chicken Hyderabadi Biriyani + Alfaham Quarter,,352,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biryani Combo,,0,,5,1
ARAFA CHICKEN PARK,Hyderabadi Plain Biriyani + Alfaham Quarter,,297,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biryani Combo,,0,,5,2
ARAFA CHICKEN PARK,Mushroom 65,,209,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,6,1
ARAFA CHICKEN PARK,Gobi 65,,209,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,6,2
ARAFA CHICKEN PARK,Baby Corn 65,,209,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,6,3
ARAFA CHICKEN PARK,Veg Spring Roll,,132,,,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,6,4
ARAFA CHICKEN PARK,Chicken 65,Oil Fry,242,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,7,1
ARAFA CHICKEN PARK,Dragon Chicken,Oil Fry,352,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,7,2
ARAFA CHICKEN PARK,Shanghai Chicken,Oil Fry,352,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,7,3
ARAFA CHICKEN PARK,Chicken Leg 1 Pc,,132,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,7,4
ARAFA CHICKEN PARK,Chicken Leg 2 Pc,,220,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,7,5
ARAFA CHICKEN PARK,Chicken Lollipop 5 Pcs,,220,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,7,6
ARAFA CHICKEN PARK,Chicken Chilly Lollipop (5pcs),,275,,,,,,0,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,7,7
