restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order,,,
RAJ HOTEL,Veg Clear Soup,,42,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,1,1,,,
RAJ HOTEL,Mushroom Soup,,63,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,1,2,,07:30AM,10:00AM
RAJ HOTEL,Tomato Soup,,42,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,1,3,,,
RAJ HOTEL,Hot  N Sour Veg Soup,,42,,,,0,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,1,4,,,
RAJ HOTEL,Chicken Clear Soup,,53,,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,1,5,,,
RAJ HOTEL,Hot N Sour Chicken Soup,,53,,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,1,7,,,
RAJ HOTEL,Nattukozhi Soup,,53,,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,1,8,,,
RAJ HOTEL,Kozhi Rasam Soup,,53,,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,1,9,,,
RAJ HOTEL,Mutton Soup,,63,,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,1,10,,,
RAJ HOTEL,Crab Soup,,63,,,,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,1,11,,,
RAJ HOTEL,Thali Veg Meals,,84,,,,0,Veg,12:00PM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,1,13,,,
RAJ HOTEL,Thali Veg Meals Special,,126,,,,0,Veg,12:00PM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,1,14,,,
RAJ HOTEL,Thali Non Veg Meals,,126,,,,0,Non Veg,12:00PM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,1,16,,,
RAJ HOTEL,Thali Non Veg Meals Special,,189,,,,0,Non Veg,12:00PM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,2,1,,,
RAJ HOTEL,Sambar Rice,,63,,,,0,Veg,12:00PM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,2,2,,,
RAJ HOTEL,Curd Rice,,53,,,,0,Veg,12:00PM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,,,,,,,
RAJ HOTEL,Curd Rice Special,,84,,,,0,Veg,12:00PM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,2,3,,,
RAJ HOTEL,Curd Rice Ultra Special,,126,,,,0,Veg,12:00PM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,2,4,,,
RAJ HOTEL,Plain Biriyani,,74,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,5,,,
RAJ HOTEL,Egg Biriyani,,84,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,6,,,
RAJ HOTEL,Chicken Biriyani,,126,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,7,,,
RAJ HOTEL,Nattukozhi Biriyani,,179,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,8,,,
RAJ HOTEL,Mutton Biriyani,,231,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,9,,,
RAJ HOTEL,Fish Biriyani,,189,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,10,,,
RAJ HOTEL,Prawn Biriyani,,210,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,3,1,,,
RAJ HOTEL,Special Biriyani,,263,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,,,,,,,
RAJ HOTEL,Idly 2 Nos,,21,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,0,,3,2,,,
RAJ HOTEL,Chilly Idly,,84,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,0,,3,3,,,
RAJ HOTEL,Pepper Idly,,84,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,0,,3,4,,,
RAJ HOTEL,Kal Dosai,,21,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,0,,3,5,,,
RAJ HOTEL,Nice Dosai,,32,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,0,,3,6,,,
RAJ HOTEL,Plain Roast,,53,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,0,,3,7,,,
RAJ HOTEL,Onion Roast,,84,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,0,,3,8,,,
RAJ HOTEL,Onion Uthappam,,63,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,0,,3,9,,,
RAJ HOTEL,Rava Dosai,,53,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,0,,3,10,,,
RAJ HOTEL,Onion Rava Dosai,,74,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,0,,3,11,,,
RAJ HOTEL,Ghee Rava Roast,,84,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,0,,3,12,,,
RAJ HOTEL,Ghee Roast,,84,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,,,,,,,
RAJ HOTEL,Ghee Onion Roast,,105,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,,,,,,,
RAJ HOTEL,Mushroom Dosai,,105,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,0,,3,13,,,
RAJ HOTEL,Gobi Dosai  ,,105,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,0,,4,1,,,
RAJ HOTEL,Paneer Dosai,,105,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,0,,4,2,,,
RAJ HOTEL,Butter Dosai,,105,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,,,,,,,
RAJ HOTEL,Cheese Dosai,,137,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,,,,,,,
RAJ HOTEL,Tomato Uthappam,,74,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,,,,,,,
RAJ HOTEL,Cheese Uthappam,,126,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,,,,,,,
RAJ HOTEL,Podi Dosai,,53,,,,0,Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,,,,,,,
RAJ HOTEL,Egg Dosai,,53,,,,0,Non Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,,,,,,,
RAJ HOTEL,Egg Roast,,74,,,,0,Non Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,,,,,,,
RAJ HOTEL,Chicken Curry Dosai,,189,,,,0,Non Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,,,,,,,
RAJ HOTEL,Mutton Curry Dosai,,231,,,,0,Non Veg,06:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin,,,,,,,,
RAJ HOTEL,Boiled Egg,,11,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Dishes,,,,,,,,
RAJ HOTEL,Masala Omelette,,32,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Dishes,,,,,,,,
RAJ HOTEL,Plain Omelette,,21,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Dishes,,,,,,,,
RAJ HOTEL,Egg Poriyal,,42,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Dishes,,,,,,,,
RAJ HOTEL,Mutta Mass,,53,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Dishes,,,,,,,,
RAJ HOTEL,Egg Hot Pepper,,84,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Dishes,,,,,,,,
RAJ HOTEL,Chicken 65,,105,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Chicken Chilly,,126,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Chicken Manchurian,,137,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Chicken 65 Boneless,,137,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Chicken Lollipop,,132,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Drums of Heaven,,147,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Garlic Chicken,,137,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Ginger Chicken,,137,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Boundary Chicken,,158,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Hyderabad Chicken,,158,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Mint Chicken,,158,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Dragon Chicken,,189,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Hot Pepper Chicken,,179,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Schezwan Chicken,,189,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Honey Chicken,,210,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Chicken 777,,210,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Chicken 007,,210,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Chicken Maharani,,189,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Kerala Chicken,,158,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Bombay Chicken,,179,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Ooty Chicken,,179,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Covai Special Chicken,,210,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Singapore Chicken,,263,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Chicken Pepper Fry,,137,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Chicken Varuval,,105,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Nattukozhi Pallipalayam,,189,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Nattukozhi Chinthamani,,189,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Nattukozhi Pepper Fry,,189,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Nattukozhi Varuval,,158,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Nattukozhi Uppukari,,158,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Mutton Pepper Fry,,210,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Mutton Chukka,,189,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Kudal Fry,,189,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Kudal Egg Fry,,231,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Kaadai 65,,126,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Kaadai Roast,,105,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Fish 65,,126,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Fish Chillly,,126,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Fish Manchurian,,147,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Fish Fry,,158,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Nethili 65,,158,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Nethili Hot Pepper ,,179,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Prawn 65,,158,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Prawn Chilly,,189,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Prawn Manchurian,,189,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Prawn Pepper Fry,,189,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,,,,,,,
RAJ HOTEL,Gobi 65,,63,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,,,,,,,
RAJ HOTEL,Gobi Chilly,,84,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,,,,,,,
RAJ HOTEL,Gobi Manchurian,,105,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,,,,,,,
RAJ HOTEL,Mushroom 65,,84,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,,,,,,,
RAJ HOTEL,Mushroom Chilly,,126,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,,,,,,,
RAJ HOTEL,Mushroom Manchurian,,126,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,,,,,,,
RAJ HOTEL,Paneer 65,,84,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,,,,,,,
RAJ HOTEL,Paneer Chilly,,126,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,,,,,,,
RAJ HOTEL,Paneer Manchurian,,126,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,,,,,,,
RAJ HOTEL,Babycorn 65,,84,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,,,,,,,
RAJ HOTEL,Babycorn Chilly,,126,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,,,,,,,
RAJ HOTEL,Babycorn Manchurian,,126,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,,,,,,,
RAJ HOTEL,Gobi Pepper Fry ,,126,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,,,,,,,
RAJ HOTEL,Mushroom Pepper Fry,,126,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,,,,,,,
