restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,item_status,image,main_cat,sub_cat,recommended,ingredients
Meat & Eat,Exotic Veg Pizza 1Slice,,62,5,Non Veg,11:00AM,10:30PM,1,,Pizza By Slice,,0,
Meat & Eat,Chicken Tikka Pizza 1Slice,,67,5,Non Veg,11:00AM,10:30PM,1,,Pizza By Slice,,0,
Meat & Eat,Creamy Mushroom with Penne Pasta (White Sauce),,146,5,Veg,11:00AM,10:30PM,1,,Pasta,,0,
Meat & Eat,Pomodoro Penne Pasta With Vegetable (Tomato Sauce),,157,5,Veg,11:00AM,10:30PM,1,,Pasta,,0,
Meat & Eat,Creamy Chicken & Mushroom with Penne Pasta (White Sauce),,172,5,Veg,11:00AM,10:30PM,1,,Pasta,,0,
Meat & Eat,Arrabiatta Chicken with Penne Pasta (Tomato Sauce),,183,0,Veg,11:00AM,10:30PM,1,,Pasta,,0,
Meat & Eat,Lemon Mint,,78,2,Veg,11:00AM,10:30PM,1,,Mojito,,0,
Meat & Eat,Blue Curacao,,78,2,Veg,11:00AM,10:30PM,1,,Mojito,,0,
Meat & Eat,Green Apple,,78,2,Veg,11:00AM,10:30PM,1,,Mojito,,0,
Meat & Eat,Mango,,78,2,Veg,11:00AM,10:30PM,1,,Mojito,,0,
Meat & Eat,Watermelon,,78,2,Veg,11:00AM,10:30PM,1,,Mojito,,0,
Meat & Eat,New Oreo Shake,,104,5,Veg,11:00AM,10:30PM,1,,Milkshakes,,0,
Meat & Eat,Vannila,,83,2,Veg,11:00AM,10:30PM,1,,Milkshakes,,0,
Meat & Eat,Strawberry,,83,2,Veg,11:00AM,10:30PM,1,,Milkshakes,,0,
Meat & Eat,Chocolate,,94,2,Veg,11:00AM,10:30PM,1,,Milkshakes,,0,
Meat & Eat,Add Any Scoop Float,,36,2,Veg,11:00AM,10:30PM,1,,Milkshakes,,0,
Meat & Eat,Super Veggie Wrap,,78,5,Veg,11:00AM,10:30PM,1,,Wraps,,0,
Meat & Eat,Crispy Paneer Wrap,,104,5,Veg,11:00AM,10:30PM,1,,Wraps,,0,
Meat & Eat,Chettinad Chicken Wrap,,88,5,Non Veg,11:00AM,10:30PM,1,,Wraps,,0,
Meat & Eat,Mexican Chicken Wrap,,99,2,Non Veg,11:00AM,10:30PM,1,,Wraps,,0,
Meat & Eat,Crispy Chicken Wrap,,115,2,Non Veg,11:00AM,10:30PM,1,,Wraps,,0,
Meat & Eat,Fish 'n' Chips (2Ncs Fish Fillet + Fries ® + Mayo Dip),,188,2,Non Veg,11:00AM,10:30PM,1,,Sea Foods,,0,
Meat & Eat,Chicken Frankfurters,,78,2,Non Veg,11:00AM,10:30PM,1,,Hot Dog,,0,
Meat & Eat,Cheese and Onion,,83,0,Non Veg,11:00AM,10:30PM,1,,Hot Dog,,0,
Meat & Eat,Cheesy French Fries,,94,0,Veg,11:00AM,10:30PM,1,,Cheesy Fries,,0,
Meat & Eat,Cheesy Chicken Fries,,120,0,Non Veg,11:00AM,10:30PM,1,,Cheesy Fries,,0,
Meat & Eat,Grilled Veg & Cheese Sandwich,,73,0,Veg,11:00AM,10:30PM,1,,Sandwich,,0,
Meat & Eat,Tandoori Paneer Sandwich,,115,0,Veg,11:00AM,10:30PM,1,,Sandwich,,0,
Meat & Eat,Chicken Tikka Sandwich,,125,0,Non Veg,11:00AM,10:30PM,1,,Sandwich,,0,
Meat & Eat,Ice Cream (1 Scoop),,41,0,Veg,11:00AM,10:30PM,1,,Desserts,,0,
Meat & Eat,Hot Choco Lava Cake,,83,0,Non Veg,11:00AM,10:30PM,1,,Desserts,,0,
Meat & Eat,Brownie With Ice Cram,,120,0,Non Veg,11:00AM,10:30PM,1,,Desserts,,0,
Meat & Eat,Ice Lemon Tea,,36,0,Veg,11:00AM,10:30PM,1,,Side Orders,,0,
Meat & Eat,Mineral Water,,21,0,Veg,11:00AM,10:30PM,1,,Side Orders,,0,
Meat & Eat,Soft Drinks Pet Bot,,21,0,Veg,11:00AM,10:30PM,1,,Side Orders,,0,
Meat & Eat,Mayonnaise Sachet,,8,0,Non Veg,11:00AM,10:30PM,1,,Side Orders,,0,
Meat & Eat,Cheese Slice,,15,0,Veg,11:00AM,10:30PM,1,,Side Orders,,0,
Meat & Eat,Add On 1 French Fries+Mojito,,120,0,Veg,11:00AM,10:30PM,1,,Add On,,0,
Meat & Eat,Add On 2 French Fries+Fried Chicken,,130,0,Non Veg,11:00AM,10:30PM,1,,Add On,,0,
Meat & Eat,Add On 3 Chicken Fries+Mojito,,151,0,Non Veg,11:00AM,10:30PM,1,,Add On,,0,
Meat & Eat,Add On 4 Fried Chicken+Mojito,,151,0,Non Veg,11:00AM,10:30PM,1,,Add On,,0,
Meat & Eat,Add On 5 Fried Chicken+Chicken Fries,,162,0,Non Veg,11:00AM,10:30PM,1,,Add On,,0,
